Name,Symbol
Apple Inc.,AAPL
AbbVie Inc.,ABBV
Abbott Laboratories,ABT
Accenture plc,ACN
American International Group Inc.,AIG
Allstate Corp.,ALL
Amgen Inc.,AMGN
Amazon.com,AMZN
Apache Corp.,APA
Anadarko Petroleum Corporation,APC
American Express Inc.,AXP
Boeing Co.,BA
Bank of America Corp,BAC
Baxter International Inc,BAX
Biogen Idec,BIIB
Bank of New York,BK
Bristol-Myers Squibb,BMY
Berkshire Hathaway,BRK.B
Citigroup Inc,C
Caterpillar Inc,CAT
Colgate-Palmolive Co.,CL
Comcast Corporation,CMCSA
Capital One Financial Corp.,COF
ConocoPhillips,COP
Costco,COST
Cisco Systems,CSCO
CVS Caremark,CVS
Chevron,CVX
DuPont,DD
The Walt Disney Company,DIS
Dow Chemical,DOW
Devon Energy,DVN
eBay Inc.,EBAY
EMC Corporation,EMC
Emerson Electric Co.,EMR
Exelon,EXC
Ford Motor,F
Facebook,FB
Freeport-McMoran,FCX
FedEx,FDX
"Twenty-First Century Fox, Inc",FOXA
General Dynamics,GD
General Electric Co.,GE
Gilead Sciences,GILD
General Motors,GM
Google Inc.,GOOG
Goldman Sachs,GS
Halliburton,HAL
Home Depot,HD
Honeywell,HON
Hewlett Packard Co,HPQ
International Business Machines,IBM
Intel Corporation,INTC
Johnson & Johnson Inc,JNJ
JP Morgan Chase & Co,JPM
The Coca-Cola Company,KO
Eli Lilly and Company,LLY
Lockheed-Martin,LMT
Lowe's,LOW
Mastercard Inc,MA
McDonald's Corp,MCD
Mondel?z International,MDLZ
Medtronic Inc.,MDT
Metlife Inc.,MET
3M Company,MMM
Altria Group,MO
Monsanto,MON
Merck & Co.,MRK
Morgan Stanley,MS
Microsoft,MSFT
Nike,NKE
National Oilwell Varco,NOV
Norfolk Southern Corp,NSC
Oracle Corporation,ORCL
Occidental Petroleum Corp.,OXY
Pepsico Inc.,PEP
Pfizer Inc,PFE
Procter & Gamble Co,PG
Phillip Morris International,PM
Qualcomm Inc.,QCOM
Raytheon Co (NEW),RTN
Starbucks Corporation,SBUX
Schlumberger,SLB
Southern Company,SO
"Simon Property Group, Inc.",SPG
AT&T Inc,T
Target Corp.,TGT
Time Warner Inc.,TWX
Texas Instruments,TXN
UnitedHealth Group Inc.,UNH
Union Pacific Corp.,UNP
United Parcel Service Inc,UPS
US Bancorp,USB
United Technologies Corp,UTX
Visa Inc.,V
Verizon Communications Inc,VZ
Walgreens Boots Alliance,WBA
Wells Fargo,WFC
Wal-Mart,WMT
Exxon Mobil Corp,XOM
